DAUID,POP2021,POPDENS,TOTLOWINC
24660518,994,14019.7,190
24660525,400,8180,130
24660526,745,10318.6,80
24660530,634,10800.7,85
24660533,489,16746.6,165
24660536,1825,18123.1,345
24660537,886,27430.3,315
24660538,442,25113.6,125
24660539,675,8964.1,115
24660540,1259,10405,370
24660541,521,5507.4,85
24660542,429,5302.8,45
24660543,494,6333.3,80
24660544,543,6753.7,80
24660545,721,7456,85
24660546,1008,9024.2,140
24660547,625,5064.8,130
24660548,579,9004.7,120
24660550,440,3829.4,70
24660551,411,19116.3,75
24660552,659,25742.2,125
24660555,635,13119.8,120
24660556,1098,10290.5,240
24660557,652,24980.8,195
24660558,709,9646.3,210
24660560,509,3770.4,10
24660561,637,5563.3,70
24660562,577,11848,230
24660563,568,4913.5,95
24660564,642,5879.1,45
24660565,1034,6297.2,215
24660566,612,4129.6,45
24660567,531,10948.5,90
24660568,572,10250.9,90
24660569,454,8549.9,70
24660570,525,23026.3,240
24660571,808,36561.1,235
24660572,561,13046.5,160
24660576,529,15558.8,75
24660577,421,7854.5,50
24660578,772,4530.5,175
24660579,519,13376.3,105
24660580,293,4215.8,50
24660581,733,5565.7,95
24660582,871,11754.4,160
24660583,838,9870.4,110
24660584,556,5335.9,80
24660585,808,4638.3,80
24660586,516,7713,25
24660587,457,4360.7,45
24660588,527,3935.8,35
24660590,350,4717,20
24660594,595,6991.8,40
24660596,569,9358.6,115
24660597,419,11355,65
24660598,415,4606,35
24660599,427,5980.4,35
24660600,593,5658.4,175
24660601,723,8060.2,175
24660602,446,3992.8,60
24660603,389,4375.7,15
24660604,421,6146,45
24660605,506,2825.2,65
24660606,352,3826.1,50
24660607,828,2612,165
24660608,1372,600.9,280
24660609,1015,2649.4,205
24660610,542,2738.8,140
24660611,1904,18116.1,330
24660613,1330,5462,230
24660614,432,13170.7,90
24660615,547,27213.9,150
24660616,806,9449,180
24660617,422,22810.8,125
24660618,597,10187.7,85
24660619,531,10535.7,35
24660620,416,4328.8,55
24660621,353,21925.5,95
24660622,703,24241.4,290
24660623,178,12624.1,
24660624,523,21346.9,135
24660625,640,18991.1,285
24660626,479,11270.6,50
24660627,472,9182.9,55
24660628,609,4054.6,60
24660629,815,50621.1,155
24660630,505,4305.2,25
24660631,751,6622.6,75
24660632,475,4861.8,35
24660633,623,5004,105
24660634,679,4155.4,40
24660635,814,8019.7,180
24660636,548,9580.4,65
24660637,573,13142.2,75
24660638,407,7980.4,40
24660639,482,10168.8,35
24660640,427,7966.4,35
24660641,563,11827.7,55
24660642,455,9784.9,35
24660643,628,13333.3,110
24660644,626,9246.7,45
24660645,862,11037.1,85
24660646,559,6410.6,60
24660649,771,9178.6,70
24660650,1144,4042.4,100
24660652,627,10904.3,80
24660654,412,3573.3,5
24660655,472,6456.9,70
24660656,672,17967.9,145
24660657,723,14066.1,150
24660659,602,11401.5,105
24660660,541,11969,95
24660661,798,30574.7,190
24660662,256,8951,50
24660663,519,25693.1,80
24660664,1011,29823,310
24660665,514,27340.4,85
24660666,765,33700.4,140
24660667,514,23686.6,75
24660668,433,17601.6,80
24660669,492,10250,60
24660670,746,31880.3,155
24660671,697,30704.8,145
24660672,430,18777.3,95
24660673,399,17654.9,35
24660676,472,2171.1,150
24660677,522,7554.3,100
24660678,967,42227.1,165
24660679,537,23973.2,120
24660680,392,16824,65
24660681,1023,13268.5,155
24660682,245,9839.4,
24660683,395,15927.4,70
24660684,543,25023,50
24660685,600,26087,125
24660686,365,8837.8,65
24660687,897,22039.3,100
24660688,740,25429.6,180
24660689,826,31891.9,230
